"GEOID","OBJECTID","DTH_CUM_CP","population"
"55001950100",2353630,9,2945
"55001950201",2827921,3,1233
"55001950202",2231037,3,2586
"55001950400",2702430,17,4599
"55001950501",2119266,0,1598
"55001950502",2580005,5,3585
"55001950700",2007620,8,3548
"55003940000",2461094,1,2080
"55003950300",1895485,7,2808
"55003950400",2336856,7,2168
"55003950500",2810622,2,2134
"55003950600",2251314,6,1259
"55003950700",2724450,4,2013
"55003950800",2170084,3,3155
"55005000100",2637340,6,3822
"55005000200",2091920,12,3885
"55005000300",2545393,4,4024
"55005000400",2007700,21,5347
"55005000500",2461167,9,4402
"55005000600",1926204,28,6097
"55005000800",2374687,3,5389
"55005000900",2849689,6,4930
"55005001001",2289474,0,1787
"55005001002",2758704,29,5546
"55007960100",2203778,6,3033
"55007960200",2672000,2,1742
"55007960300",2091986,15,3601
"55007960400",2549610,9,4717
"55007960600",1977757,2,1900
"55009000100",2431322,5,2730
"55009000200",2905099,15,6036
"55009000302",2310829,7,4566
"55009000303",2784588,20,2774
"55009000401",2195306,9,5053
"55009000402",2663367,4,1944
"55009000500",2084158,1,2994
"55009000600",2541313,13,3764
"55009000700",1965883,8,4632
"55009000800",2418454,2,1706
"55009000900",2892168,6,4331
"55009001000",2298073,1,1338
"55009001100",2771734,1,2075
"55009001200",2182564,4,2283
"55009001300",2650590,3,2626
"55009001400",2068812,5,3310
"55009001600",2524462,14,6255
"55009001701",1954023,3,3770
"55009001702",2405635,4,3528
"55009001801",2879531,14,5632
"55009001802",2285408,2,6347
"55009002001",2758894,23,8918
"55009002002",2166294,7,5074
"55009002003",2633263,7,3524
"55009010100",2057225,6,5725
"55009010201",2511895,5,4719
"55009010202",1942282,17,5158
"55009010300",2392480,8,6967
"55009020100",2866901,5,6088
"55009020203",2268592,5,6940
"55009020204",2741896,6,5761
"55009020502",2154371,4,5496
"55009020503",2620311,25,8188
"55009020504",2045428,6,5974
"55009020600",2499356,6,5350
"55009020702",1930450,3,7315
"55009020703",2375013,7,7382
"55009020704",2364078,15,8319
"55009020800",2838730,24,2241
"55009020900",2735783,6,2653
"55009021000",2829169,4,2858
"55009021100",2235981,1,1173
"55009021200",2708109,6,4957
"55009021301",2151146,7,3181
"55009021302",2616869,8,6038
"55009021303",2073409,29,4086
"55009021304",2529395,2,2290
"55009021400",1991429,1,8543
"55009021500",2445505,7,3042
"55009021600",2919380,12,6145
"55009940001",2354965,24,19084
"55009940002",2829312,7,4529
"55009940003",2269549,3,3394
"55009940004",2742825,5,2562
"55011960100",2187857,2,2511
"55011960200",2655701,1,2749
"55011960300",2108895,3,2224
"55011960400",2563845,2,2377
"55011960500",2025725,2,3265
"55013970400",2479262,9,3906
"55013970600",1943172,3,1955
"55013970700",2393510,6,2393
"55013970800",2867861,4,2316
"55013970900",2307814,13,2872
"55013971000",2777247,3,1847
"55015020100",2220690,17,4698
"55015020200",2690627,13,3826
"55015020303",2139558,6,3667
"55015020304",2603692,4,3710
"55015020306",2062010,7,6463
"55015020308",2516911,5,4388
"55015020400",1975053,5,3219
"55015020500",2428457,19,4948
"55015020600",2902080,16,4655
"55015020700",2342712,2,4736
"55015020800",2816443,4,5618
"55017010100",2257065,2,3075
"55017010200",2730201,36,6683
"55017010300",2171425,9,5451
"55017010400",2638807,5,5293
"55017010500",2093282,18,5436
"55017010700",2550941,11,7665
"55017010800",2013556,13,7224
"55017010900",2466869,16,4770
"55017011000",1931535,14,7196
"55017011100",2376147,7,4189
"55017011200",2851240,17,6910
"55019950100",2290997,26,4950
"55019950200",2764518,21,4484
"55019950300",2209361,20,4453
"55019950400",2677723,9,3953
"55019950500",2128306,8,5134
"55019950600",2586035,9,4854
"55019950700",2046614,9,3586
"55019950800",2500479,5,3165
"55021970100",1967280,4,4013
"55021970200",2420047,12,5701
"55021970300",2893614,15,4313
"55021970400",2334232,9,6647
"55021970500",2803532,8,4395
"55021970600",2213235,8,4675
"55021970700",2682171,9,4199
"55021970800",2070062,4,5908
"55021970900",2525691,6,4707
"55021971000",1923801,3,3745
"55021971100",2372137,13,3585
"55021971200",2842806,21,5245
"55023960100",2217169,2,2845
"55023960200",2686651,2,2115
"55023960300",2073989,2,2487
"55023960400",2530017,8,3121
"55023960500",1927847,0,2022
"55023960600",2376379,11,3645
"55025000100",2847188,1,2586
"55025000201",2221103,3,2131
"55025000202",2691061,0,3284
"55025000204",2077916,2,5824
"55025000205",2534301,1,5055
"55025000300",1931865,4,5995
"55025000401",2380761,1,3325
"55025000402",2851549,0,2610
"55025000405",2225051,3,6848
"55025000406",2695569,7,3385
"55025000407",2081808,2,5702
"55025000408",2538592,13,1949
"55025000501",1935883,4,4447
"55025000503",2385262,7,7026
"55025000504",2855910,1,7129
"55025000600",2228992,4,6152
"55025000700",2700028,3,3118
"55025000800",2085791,1,3845
