"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"891","Newham, 00BB (891)","1","Newham, 00BB (1)","1/6/2019 - 31/8/2019, Every day, Daily Average",1233,856,1775
"891","Newham, 00BB (891)","2","Newham, 00BB (2)","1/6/2019 - 31/8/2019, Every day, Daily Average",358,187,681
"891","Newham, 00BB (891)","3","Newham, 00BB (3)","1/6/2019 - 31/8/2019, Every day, Daily Average",269,99,724
"891","Newham, 00BB (891)","4","Newham, 00BB (4)","1/6/2019 - 31/8/2019, Every day, Daily Average",295,148,587
"891","Newham, 00BB (891)","5","Lambeth, 00AY (5)","1/6/2019 - 31/8/2019, Every day, Daily Average",2456,2035,2963
"891","Newham, 00BB (891)","6","Lambeth, 00AY (6)","1/6/2019 - 31/8/2019, Every day, Daily Average",2579,2117,3140
"891","Newham, 00BB (891)","9","Southwark, 00BE (9)","1/6/2019 - 31/8/2019, Every day, Daily Average",2064,1763,2415
"891","Newham, 00BB (891)","10","Newham, 00BB (10)","1/6/2019 - 31/8/2019, Every day, Daily Average",684,476,981
"891","Newham, 00BB (891)","11","Redbridge, 00BC (11)","1/6/2019 - 31/8/2019, Every day, Daily Average",1633,1278,2085
"891","Newham, 00BB (891)","14","Redbridge, 00BC (14)","1/6/2019 - 31/8/2019, Every day, Daily Average",1324,1042,1681
"891","Newham, 00BB (891)","15","Wandsworth, 00BJ (15)","1/6/2019 - 31/8/2019, Every day, Daily Average",3746,3096,4531
"891","Newham, 00BB (891)","16","Southwark, 00BE (16)","1/6/2019 - 31/8/2019, Every day, Daily Average",2254,1942,2615
"891","Newham, 00BB (891)","17","Wandsworth, 00BJ (17)","1/6/2019 - 31/8/2019, Every day, Daily Average",3396,2724,4233
"891","Newham, 00BB (891)","18","Westminster, 00BK (18)","1/6/2019 - 31/8/2019, Every day, Daily Average",3385,2685,4267
"891","Newham, 00BB (891)","19","Westminster, 00BK (19)","1/6/2019 - 31/8/2019, Every day, Daily Average",3333,2657,4180
"891","Newham, 00BB (891)","20","Westminster, 00BK (20)","1/6/2019 - 31/8/2019, Every day, Daily Average",3241,2627,3997
"891","Newham, 00BB (891)","21","City of London, 00AA (21)","1/6/2019 - 31/8/2019, Every day, Daily Average",1522,1167,1983
"891","Newham, 00BB (891)","22","Barking and Dagenham, 00AB (22)","1/6/2019 - 31/8/2019, Every day, Daily Average",1831,1433,2338
"891","Newham, 00BB (891)","23","Barking and Dagenham, 00AB (23)","1/6/2019 - 31/8/2019, Every day, Daily Average",1665,1321,2097
"891","Newham, 00BB (891)","25","Barking and Dagenham, 00AB (25)","1/6/2019 - 31/8/2019, Every day, Daily Average",1407,1147,1725
"891","Newham, 00BB (891)","26","Barking and Dagenham, 00AB (26)","1/6/2019 - 31/8/2019, Every day, Daily Average",1424,1128,1796
"891","Newham, 00BB (891)","27","Barking and Dagenham, 00AB (27)","1/6/2019 - 31/8/2019, Every day, Daily Average",1476,1060,2055
"891","Newham, 00BB (891)","28","Barking and Dagenham, 00AB (28)","1/6/2019 - 31/8/2019, Every day, Daily Average",1297,996,1688
"891","Newham, 00BB (891)","29","Barking and Dagenham, 00AB (29)","1/6/2019 - 31/8/2019, Every day, Daily Average",1206,952,1527
"891","Newham, 00BB (891)","30","Barking and Dagenham, 00AB (30)","1/6/2019 - 31/8/2019, Every day, Daily Average",1458,1161,1830
"891","Newham, 00BB (891)","31","Barking and Dagenham, 00AB (31)","1/6/2019 - 31/8/2019, Every day, Daily Average",1706,1199,2426
